periodo_clave,anio_reportado,mes_num,mes_label,fecha_reunion,tipo_reunion,municipios_reunion,tema_reunion,instituciones_presentes,acuerdos_reunion,reunion_eje_flag,mesa_departamental_flag
2026-02,2026,2,Febrero,2026-01-25,Otro,San Antonio Palopó,Gestiuón de fondos para caracterizacion de aguas residuales del municipio de San Antonio Palopó.,Familia Plocharski Schutt,Cotización de costos de laboratorios para caracterizacion de aguas residuales,0,0
2026-02,2026,2,Febrero,2026-01-25,Eje de agua y saneamiento / CODEMA,,Coordinación isntitucional y POA,"AALA, AMSCLAE, MARN, ONGAWA, SALUD",Seguimiento de POA y Presupuesto a proyectos de inversion de agua y saneamiento.,1,0
2026-02,2026,2,Febrero,2026-01-25,Otro,,Presentacion de plan de consrvación y reforestacion.,Familia Meagli y equipo técnico AALA,Planificación de plan de reforestacion y requerimientos legales para inscripcion del área como área de conservacion.,0,0
2026-02,2026,2,Febrero,2026-01-25,Reunión técnica con municipio,San Antonio Palopó,Confirmación de puntos de descarga de aguas residuales para caracterizacion de aguas residuales,Director de la unidad ambiental de la municipalidad de San Antonio Palopó.,Facilitación de coordenadas y datos de puntos de descarga,0,0
2026-02,2026,2,Febrero,2026-01-25,Reunión técnica con municipio,San Antonio Palopó,"Actividades de intervencion en el municipio Residuos sólidos, aguas residuales y PIRDS",Director de la unidad ambiental de la municipalidad de San Antonio Palopó.,Visita de campo para diagnostico actual del sistema de tratamiento de residuos sólidos,0,0
2026-02,2026,2,Febrero,2026-01-29,Reunión técnica con municipio,Sololá,Coordinación de actividades y asistencia técnica,Direccionales ambiental municipal de Sololá,"Seguimiento PIRDS, Diagnostico manejo de reciclables y cierre vertedero picacho.",0,0
2026-02,2026,2,Febrero,2026-01-30,Mesa técnica municipal,San Antonio Palopó,Presentación de avances y coordinacion de la oficina municipal de medio ambiente.,"AMSCLAE, MAGA, AALA, SALUD, SESAN, Atitlán Recicla",Acompañamiento técnico en residuos sólidos y aguas residuales,0,0
2026-02,2026,2,Febrero,2026-02-02,Otro,San Antonio Palopó,Elaboración PIRDS Municipio de San Antonio Palopó.,EPSUM-USAC,Coordinación para apoyo técnico para construcción de PIRDS,0,0
2026-02,2026,2,Febrero,2026-02-18,Eje de agua y saneamiento / CODEMA,,"Calidad de agua del lago de atitlan, POA de eje.","AALA, AMSCLAE, MARN, ONGAWA, SALUD",Elaboración de matriz para actualización de POA 2026 institucional,1,0
2026-02,2026,2,Febrero,2026-03-02,Mesa técnica municipal,Sololá,"Cierre vertedero picacho y operación de centro de transferencia Coxom, Sololá.","Municipalidad, CONAP, SALU, AALA, CONRED, MARN, CONAP, AMSCLAE, VM, Reservas Militares",Apoyo a gestión de licencias ambietnales y acompañamiento técnico a manejo y tratamiento de residuos sólidos.,0,0
2026-02,2026,2,Febrero,2026-05-02,Otro,,Avances de losgistica de simposio 2026,"AMSCLAE, AALA, VM","Información de becas, presupuestos e informacion de ponentes.",0,0
