programa_id,programa,anio_reportado,mes_reportado,estado_del_reporte,periodo_clave,observaciones_generales_del_mes,2,46063,Sololá,2,PTRS Coxom,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Sí,Diagnostico de operacion actual y planificación de nuevo relleno sanitario,,,1,OK,,,Sí,col_17,col_18
,Fortalecimiento municipal,,Febrero,Final,2026-02,,3,46064,San Antonio Palopó,3,PTRS San Antonio Palopó,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Sí,Diagnostico para PIRDS,,,1,OK,,,Sí,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,4,46072,Santa Catarina Palopó,4,PTAR Santa Catarina Palopó,Visita a planta de tratamiento,Tratamiento de aguas residuales,Sí,Diagnostico de funcionamiento con consultor externo para estabilización de operacion.,,,1,OK,,Sí,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,5,46076,San Antonio Palopó,3,PTRS San Antonio Palopó,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,No,Levantamiento de fotogrametría de relleno sanitario,,,0,OK,,,Sí,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,6,46077,Santa Catarina Palopó,4,Simulacro nacional de terremoto,Otro,Otro,Sí,Llenado de boleta de evaluacion de respuesta de terremoto,,,1,OK,,,,,Sí
,Fortalecimiento municipal,,Febrero,Final,2026-02,,7,46078,Panajachel,5,Visita a centro de acopio AR,Visita a planta de tratamiento,Gestión integral de residuos y desechos sólidos,Sí,Acompañamiento técnico a profesionales de USAC para conocer sobre el manejo de reciclables de AR,,,1,OK,,,Sí,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,8,46087,San Juan La Laguna,6,Visita a terreno para centro de transferencia AR,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,Sí,Referencia para elaboración de EIA,,,1,OK,,,Sí,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,9,46090,San Juan La Laguna,6,Visita a PTRS,Seguimiento técnico,Gestión integral de residuos y desechos sólidos,No,"diagnostico para recuperación y manejo de PTRS, seguimiento PIRDS, Estudio de caracterizacion de residuos sólidos sector comercial y de mercados.",,No nos atendieron por situacion de auditoria municipal,0,OK,,,Sí,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,10,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,11,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,12,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,13,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,14,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,15,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,16,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,17,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,18,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,19,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,20,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,21,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,22,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,23,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,24,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,25,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,26,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,27,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,28,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,29,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,30,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,31,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,32,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,33,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,34,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,35,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,36,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,37,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,38,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,39,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,40,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,41,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,42,,,,,,,,,,,,,,,,,
