programa_id,programa,anio_reportado,mes_reportado,estado_del_reporte,periodo_clave,observaciones_generales_del_mes,No.,Fecha *,Tipo de reunión / espacio *,Tema principal,Instituciones participantes,Acuerdos principales,Evidencia / archivo / enlace,Estado fila,Mun: Concepción,Mun: Nahualá,Mun: Panajachel,Mun: San Andrés Semetabaj,Mun: San Antonio Palopó,Mun: San José Chacayá,Mun: Santa Catarina Ixtahuacán,Mun: Santa Catarina Palopó,Mun: Santa Clara La Laguna,Mun: Santa Cruz La Laguna,Mun: Santa Lucía Utatlán,Mun: Santa María Visitación,Mun: Santiago Atitlán,Mun: San Juan La Laguna,Mun: San Lucas Tolimán,Mun: San Marcos La Laguna,Mun: San Pablo La Laguna,Mun: San Pedro La Laguna,Mun: Sololá
,Fortalecimiento municipal,,Febrero,Final,2026-02,,1,25/01/26,Otro,Gestiuón de fondos para caracterizacion de aguas residuales del municipio de San Antonio Palopó.,Familia Plocharski Schutt,Cotización de costos de laboratorios para caracterizacion de aguas residuales,,OK,,,,,Sí,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,2,25/01/26,Eje de agua y saneamiento / CODEMA,Coordinación isntitucional y POA,"AALA, AMSCLAE, MARN, ONGAWA, SALUD",Seguimiento de POA y Presupuesto a proyectos de inversion de agua y saneamiento.,,OK,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,3,25/01/26,Otro,Presentacion de plan de consrvación y reforestacion.,Familia Meagli y equipo técnico AALA,Planificación de plan de reforestacion y requerimientos legales para inscripcion del área como área de conservacion.,,OK,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,4,25/01/26,Reunión técnica con municipio,Confirmación de puntos de descarga de aguas residuales para caracterizacion de aguas residuales,Director de la unidad ambiental de la municipalidad de San Antonio Palopó.,Facilitación de coordenadas y datos de puntos de descarga,,OK,,,,,Sí,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,5,25/01/26,Reunión técnica con municipio,"Actividades de intervencion en el municipio Residuos sólidos, aguas residuales y PIRDS",Director de la unidad ambiental de la municipalidad de San Antonio Palopó.,Visita de campo para diagnostico actual del sistema de tratamiento de residuos sólidos,,OK,,,,,Sí,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,6,29/1/26,Reunión técnica con municipio,Coordinación de actividades y asistencia técnica,Direccionales ambiental municipal de Sololá,"Seguimiento PIRDS, Diagnostico manejo de reciclables y cierre vertedero picacho.",,OK,,,,,,,,,,,,,,,,,,,Sí
,Fortalecimiento municipal,,Febrero,Final,2026-02,,7,30/1/26,Mesa técnica municipal,Presentación de avances y coordinacion de la oficina municipal de medio ambiente.,"AMSCLAE, MAGA, AALA, SALUD, SESAN, Atitlán Recicla",Acompañamiento técnico en residuos sólidos y aguas residuales,,OK,,,,,Sí,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,8,2026-02-02,Otro,Elaboración PIRDS Municipio de San Antonio Palopó.,EPSUM-USAC,Coordinación para apoyo técnico para construcción de PIRDS,,OK,,,,,Sí,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,9,2026-03-02,Mesa técnica municipal,"Cierre vertedero picacho y operación de centro de transferencia Coxom, Sololá.","Municipalidad, CONAP, SALU, AALA, CONRED, MARN, CONAP, AMSCLAE, VM, Reservas Militares",Apoyo a gestión de licencias ambietnales y acompañamiento técnico a manejo y tratamiento de residuos sólidos.,,OK,,,,,,,,,,,,,,,,,,,Sí
,Fortalecimiento municipal,,Febrero,Final,2026-02,,10,2026-05-02,Otro,Avances de losgistica de simposio 2026,"AMSCLAE, AALA, VM","Información de becas, presupuestos e informacion de ponentes.",,OK,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,11,18/02/26,Eje de agua y saneamiento / CODEMA,"Calidad de agua del lago de atitlan, POA de eje.","AALA, AMSCLAE, MARN, ONGAWA, SALUD",Elaboración de matriz para actualización de POA 2026 institucional,,OK,,,,,,,,,,,,,,,,,,,
,Fortalecimiento municipal,,Febrero,Final,2026-02,,12,20/02/26,,,,,,INCOMPLETA,,,,,,,,,,,,,,,,,,,
